"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-149.061996459961","69.7830963134766","88","-7.31299999999999","-12.847","0","3.44097666042486","0.86005589112503","0",
"1/2/1979","-149.061996459961","69.7830963134766","88","-4.786","-12.502","0","5.45577584541894","0.827442203382419","0",
"1/3/1979","-149.061996459961","69.7830963134766","88","-5.46100000000001","-13.639","0","3.03821127998473","0.7748152386434","0",
"1/4/1979","-149.061996459961","69.7830963134766","88","-8.72199999999998","-17.196","0","2.14149379888543","0.714792229323128","0",
"1/5/1979","-149.061996459961","69.7830963134766","88","-9.79500000000002","-12.536","0","3.71288688985068","0.774007950171208","0",
"1/6/1979","-149.061996459961","69.7830963134766","88","-10.966","-19.586","0","2.34579148188394","0.71761597966575","0",
"1/7/1979","-149.061996459961","69.7830963134766","88","-17.068","-20.72","0","0.798860041772777","0.734128571162976","0",
"1/8/1979","-149.061996459961","69.7830963134766","88","-9.887","-18.239","0","2.92586682586655","0.873256148697599","0",
"1/9/1979","-149.061996459961","69.7830963134766","88","-8.483","-12.667","0","4.36148635334605","0.868310399823204","0",
"1/10/1979","-149.061996459961","69.7830963134766","88","-8.726","-11.186","0.0102996792","5.65459629598947","0.897972334141446","0",
"1/11/1979","-149.061996459961","69.7830963134766","88","-6.45499999999998","-17.183","0","5.70482249997843","0.847156395568658","0",
"1/12/1979","-149.061996459961","69.7830963134766","88","-11.935","-19.643","0","3.11661331631751","0.746921703073295","0",
"1/13/1979","-149.061996459961","69.7830963134766","88","-7.30099999999999","-12.715","0.4377369384","4.15400218993665","0.835695453328315","0",
"1/14/1979","-149.061996459961","69.7830963134766","88","-7.565","-22.159","0.286674588","1.28729144762196","0.859861246211774","0",
"1/15/1979","-149.061996459961","69.7830963134766","88","-14.523","-24.034","0","2.41243549153391","0.837167713346006","0",
"1/16/1979","-149.061996459961","69.7830963134766","88","-9.37400000000002","-17.505","1.8041606568","3.71942235062796","0.900040546618403","0",
"1/17/1979","-149.061996459961","69.7830963134766","88","-11.655","-14.586","1.467704736","4.01494753214638","0.882813501675348","0",
"1/18/1979","-149.061996459961","69.7830963134766","88","-14.049","-26.901","0.0480652128","2.60890563468042","0.777883550119347","0",
"1/19/1979","-149.061996459961","69.7830963134766","88","-17.862","-25.996","0","2.66008227683416","0.787688571674049","0",
"1/20/1979","-149.061996459961","69.7830963134766","88","-14.909","-23.372","0.1768111704","2.2760715570064","0.841932383501791","0.00061875",
"1/21/1979","-149.061996459961","69.7830963134766","88","-15.199","-17.513","0.1579284144","6.37826572215472","0.858970613004567","0.00354375",
"1/22/1979","-149.061996459961","69.7830963134766","88","-13.24","-18.69","0.755310024","2.44157668448791","0.872922324616322","0.0072",
"1/23/1979","-149.061996459961","69.7830963134766","88","-12.969","-25.958","1.1930470128","1.40880381273798","0.834491351617273","0.01288125",
"1/24/1979","-149.061996459961","69.7830963134766","88","-13.724","-27.135","0.1682281296","1.36327300107862","0.806952209257377","0.019181268",
"1/25/1979","-149.061996459961","69.7830963134766","88","-15.326","-27.036","0.2918243592","1.81008626649159","0.831027163933391","0.025706232",
"1/26/1979","-149.061996459961","69.7830963134766","88","-15.481","-18.183","1.348400592","2.17632178709996","0.867591680481258","0.032568768",
"1/27/1979","-149.061996459961","69.7830963134766","88","-15.545","-19.448","2.27794716","3.82765326906375","0.861720286075441","0.0423",
"1/28/1979","-149.061996459961","69.7830963134766","88","-19.842","-29.819","0.4394533536","3.49457693417909","0.775457965248977","0.059118714",
"1/29/1979","-149.061996459961","69.7830963134766","88","-28.314","-37.215","0.2557754856","2.13276507761237","0.727669380819097","0.074924982",
"1/30/1979","-149.061996459961","69.7830963134766","88","-33.372","-45.694","0.405121248","3.06565729474931","0.658155424867864","0.093431214",
"1/31/1979","-149.061996459961","69.7830963134766","88","-36.589","-43.269","0.1167297552","2.32643481967711","0.683190022147519","0.11840607",
"2/1/1979","-149.061996459961","69.7830963134766","88","-37.723","-42.221","0.3055573224","3.69409481010133","0.64940485865401","0.140118732",
"2/2/1979","-149.061996459961","69.7830963134766","88","-39.304","-42.64","0.116729784","3.83102467689958","0.627121700735082","0.17701875",
"2/3/1979","-149.061996459961","69.7830963134766","88","-25.666","-46.012","0","2.39256107461013","0.645177293226791","0.254306592",
"2/4/1979","-149.061996459961","69.7830963134766","88","-26.288","-32.935","0.433444932","5.20083223832697","0.727755608495383","0.244181196",
"2/5/1979","-149.061996459961","69.7830963134766","88","-32.047","-42.461","0.483226704","3.5464227639595","0.710108245257042","0.28535634",
"2/6/1979","-149.061996459961","69.7830963134766","88","-41.154","-47.893","0.044631972","2.13802096194988","0.659099165526015","0.398474676",
"2/7/1979","-149.061996459961","69.7830963134766","88","-23.453","-48.073","0.0102996864","2.44584634822974","0.625960283797068","0.480262824",
"2/8/1979","-149.061996459961","69.7830963134766","88","-22.359","-35.735","0.735569964","3.45364523221684","0.761794049711985","0.46383768",
"2/9/1979","-149.061996459961","69.7830963134766","88","-21.173","-36.717","0.0137329056","2.39442428638253","0.698381542316596","0.593662572",
"2/10/1979","-149.061996459961","69.7830963134766","88","-16.415","-31.699","2.6470181304","4.51444215305492","0.806991519165285","0.50388732",
"2/11/1979","-149.061996459961","69.7830963134766","88","-26.498","-31.609","0.0995635656","3.95069958899514","0.746658897372547","0.829855908",
"2/12/1979","-149.061996459961","69.7830963134766","88","-30.337","-37.923","0","2.0855225624391","0.70325946718801","1.010812392",
"2/13/1979","-149.061996459961","69.7830963134766","88","-30.514","-40.463","0","1.54139634511859","0.68464477232888","0.917381916",
"2/14/1979","-149.061996459961","69.7830963134766","88","-18.672","-33.369","0","3.38668027866695","0.627217447527404","1.222875",
"2/15/1979","-149.061996459961","69.7830963134766","88","-13.673","-17.871","1.92260808","5.74050698409076","0.849594624155755","0.912431844",
"2/16/1979","-149.061996459961","69.7830963134766","88","-17.578","-28.862","0.151920324","2.96283904750813","0.760261979818905","1.43679294",
"2/17/1979","-149.061996459961","69.7830963134766","88","-12.778","-24.902","0.6574636512","5.77019269572896","0.828203233628534","1.261463148",
"2/18/1979","-149.061996459961","69.7830963134766","88","-20.049","-36.059","0.120162924","2.32228620412434","0.753937343122483","1.62686214",
"2/19/1979","-149.061996459961","69.7830963134766","88","-18.147","-30.956","0","1.73001193155613","0.734313472614572","1.82857482",
"2/20/1979","-149.061996459961","69.7830963134766","88","-17.218","-30.932","0","2.02542110475959","0.719812404122505","2.11618098",
"2/21/1979","-149.061996459961","69.7830963134766","88","-14.976","-26.056","0","2.94325479442961","0.713512901666391","2.06437482",
"2/22/1979","-149.061996459961","69.7830963134766","88","-18.191","-23.676","0","2.41589891705848","0.610612647941483","2.50785144",
"2/23/1979","-149.061996459961","69.7830963134766","88","-17.922","-23.881","0.0102996864","3.10595523288304","0.686602903670937","2.69679204",
"2/24/1979","-149.061996459961","69.7830963134766","88","-25.501","-35.119","0.102996792","1.92129663256686","0.744030741426459","2.6232174",
"2/25/1979","-149.061996459961","69.7830963134766","88","-19.9","-26.311","0.0137329056","3.01169853682981","0.787910994362842","2.91009312",
"2/26/1979","-149.061996459961","69.7830963134766","88","-19.309","-26.113","0.0308990232","2.79678321701617","0.777860257437222","3.22678341",
"2/27/1979","-149.061996459961","69.7830963134766","88","-26.816","-37.13","0.2729415744","1.89255216002298","0.744971064885107","2.90064159",
"2/28/1979","-149.061996459961","69.7830963134766","88","-25.774","-32.514","0.4506110784","2.81113791278121","0.752631634791441","2.82172608",
"3/1/1979","-149.061996459961","69.7830963134766","88","-30.815","-41.169","0.1853943264","2.25910243274316","0.72639225555122","3.72841461",
"3/2/1979","-149.061996459961","69.7830963134766","88","-31.867","-38.764","0.25405884","2.93423580071043","0.70638399506762","3.41055027",
"3/3/1979","-149.061996459961","69.7830963134766","88","-37.253","-47.383","0.1201630032","2.68013645932107","0.667915596700824","4.28006079",
"3/4/1979","-149.061996459961","69.7830963134766","88","-29.586","-48.072","0.3021242328","6.7220119610404","0.707401420205203","4.05252846",
"3/5/1979","-149.061996459961","69.7830963134766","88","-22.047","-31.552","0.1819611072","10.5789582124899","0.756187911686039","4.55777208",
"3/6/1979","-149.061996459961","69.7830963134766","88","-20.021","-25.844","0.4291535664","6.84016762106317","0.792006580183688","4.11671016",
"3/7/1979","-149.061996459961","69.7830963134766","88","-23.368","-28.949","1.1861805744","4.3230580236794","0.764781087598334","3.871855008",
"3/8/1979","-149.061996459961","69.7830963134766","88","-24.109","-29.718","0.1544951952","5.11980400195768","0.770299159295074","5.43189258",
"3/9/1979","-149.061996459961","69.7830963134766","88","-25.693","-33.229","0.370788588","8.04024640132707","0.740922219622489","5.276863872",
"3/10/1979","-149.061996459961","69.7830963134766","88","-32.65","-35.61","0.326156688","4.46333902469746","0.712011454989389","5.560534008",
"3/11/1979","-149.061996459961","69.7830963134766","88","-34.487","-42.816","0.2094268824","2.67257757737439","0.690866238504292","5.94539973",
"3/12/1979","-149.061996459961","69.7830963134766","88","-27.36","-42.081","0.2403259344","4.19967682148816","0.739925023306469","6.195374568",
"3/13/1979","-149.061996459961","69.7830963134766","88","-21.641","-28.961","0.600814404","5.87415621341712","0.781563447983906","6.202290168",
"3/14/1979","-149.061996459961","69.7830963134766","88","-25.52","-33.607","0.617980392","3.53425767951907","0.760345826494022","6.660791352",
"3/15/1979","-149.061996459961","69.7830963134766","88","-31.783","-36.223","0.659179728","3.5285345943721","0.702260170508344","6.65330463",
"3/16/1979","-149.061996459961","69.7830963134766","88","-29.213","-32.6","0.551033028","3.48295489403054","0.719338466397283","6.91733835",
"3/17/1979","-149.061996459961","69.7830963134766","88","-27.774","-32.638","0.93383748","6.81430442888194","0.723925921459855","6.618483432",
"3/18/1979","-149.061996459961","69.7830963134766","88","-27.887","-31.594","0.66089646","5.51847420805128","0.725137460292457","7.17693516",
"3/19/1979","-149.061996459961","69.7830963134766","88","-32.112","-42.416","0.1922607792","2.79099268470964","0.700030629162494","8.439190488",
"3/20/1979","-149.061996459961","69.7830963134766","88","-33.66","-45.221","0.0377655048","1.66843172855837","0.686184771899346","9.516319992",
"3/21/1979","-149.061996459961","69.7830963134766","88","-25.109","-34.204","0.2094268608","6.05763156747179","0.745786827563489","8.937287208",
"3/22/1979","-149.061996459961","69.7830963134766","88","-19.74","-27.634","0.607681116","5.88605159495307","0.764380471518","8.52834348",
"3/23/1979","-149.061996459961","69.7830963134766","88","-12.818","-19.876","2.588653512","2.9197518025637","0.867142866032779","6.499512648",
"3/24/1979","-149.061996459961","69.7830963134766","88","-10.339","-22.744","1.376724312","1.64351445577233","0.898958293406647","8.782145622",
"3/25/1979","-149.061996459961","69.7830963134766","88","-1.83199999999999","-23.136","0.7656097608","1.80343649717138","0.931897497359637","6.75612963",
"3/26/1979","-149.061996459961","69.7830963134766","88","-2.30700000000002","-11.445","5.585861952","2.3796478224781","0.933966822627689","5.401626642",
"3/27/1979","-149.061996459961","69.7830963134766","88","-12.299","-17.537","1.939773348","2.56816711242989","0.903915394625045","8.13762981",
"3/28/1979","-149.061996459961","69.7830963134766","88","-18.563","-25.312","0.1510620336","2.13905928877879","0.802891956374571","11.4148125",
"3/29/1979","-149.061996459961","69.7830963134766","88","-20.558","-26.445","0.1991272104","2.85105962985979","0.796412362038313","11.803330728",
"3/30/1979","-149.061996459961","69.7830963134766","88","-21.422","-30.206","0.1441955952","2.71971312854521","0.781867794891779","12.4542567",
"3/31/1979","-149.061996459961","69.7830963134766","88","-25.15","-37.219","0.0892639584","2.53259142942015","0.743739498156454","12.8391732",
"4/1/1979","-149.061996459961","69.7830963134766","88","-20.899","-34.892","0.2094269688","2.45757564252887","0.759034596855752","12.373882128",
"4/2/1979","-149.061996459961","69.7830963134766","88","-20.377","-34.972","0.1613616552","2.10821301010286","0.775203880913843","12.6057411",
"4/3/1979","-149.061996459961","69.7830963134766","88","-13.299","-20.341","0.1029968928","5.65425892735942","0.842067064710249","13.95393534",
"4/4/1979","-149.061996459961","69.7830963134766","88","-13.808","-18.048","1.3320919944","4.82462731896177","0.867213552463462","10.10311236",
"4/5/1979","-149.061996459961","69.7830963134766","88","-10.744","-15.773","1.874542608","3.09539739799182","0.909182056903841","10.95996564",
"4/6/1979","-149.061996459961","69.7830963134766","88","-12.988","-18.225","1.550101608","4.86193751711464","0.887863791665726","10.59750576",
"4/7/1979","-149.061996459961","69.7830963134766","88","-17.889","-20.955","1.163864304","4.08537268329906","0.8249107631441","11.635710048",
"4/8/1979","-149.061996459961","69.7830963134766","88","-21.026","-24.172","0.99220266","3.75784316449159","0.785927655796033","13.97879766",
"4/9/1979","-149.061996459961","69.7830963134766","88","-24.662","-31.453","0.2471923872","3.5177762515884","0.749126326409434","15.65336268",
"4/10/1979","-149.061996459961","69.7830963134766","88","-21.616","-30.299","0.0446319792","2.99472715704137","0.727711360281729","15.9239808",
"4/11/1979","-149.061996459961","69.7830963134766","88","-20.08","-37.976","0.205993692","3.63892005953285","0.769518599031843","16.34495526",
"4/12/1979","-149.061996459961","69.7830963134766","88","-21.125","-25.835","0.35362242","6.07178994667574","0.788799779882108","16.07411952",
"4/13/1979","-149.061996459961","69.7830963134766","88","-24.045","-32.044","0.336456432","4.4563731986847","0.766243181213848","16.44181776",
"4/14/1979","-149.061996459961","69.7830963134766","88","-25.356","-37.377","0.205993584","1.81962170939679","0.743391917708936","16.76519532",
"4/15/1979","-149.061996459961","69.7830963134766","88","-24.13","-36.127","0.192260808","2.17093703202656","0.756995138857686","17.22470706",
"4/16/1979","-149.061996459961","69.7830963134766","88","-21.347","-28.294","0.343322856","4.32362153236184","0.778568657289133","17.23010202",
"4/17/1979","-149.061996459961","69.7830963134766","88","-17.301","-25.609","0.343322928","5.56580241175733","0.813613990704267","17.09527662",
"4/18/1979","-149.061996459961","69.7830963134766","88","-16.494","-22.206","0.387954756","5.31655153923526","0.824319557682825","17.0407116",
"4/19/1979","-149.061996459961","69.7830963134766","88","-8.90600000000001","-18.814","3.841783848","4.23937307483396","0.904354593505009","11.5999803",
"4/20/1979","-149.061996459961","69.7830963134766","88","-1.21699999999998","-11.013","1.246261752","2.7689389772527","0.946756524046957","14.4916326",
"4/21/1979","-149.061996459961","69.7830963134766","88","1.48399999999998","-2.529","1.277160696","2.77688201542802","0.982799496017618","16.5855384",
"4/22/1979","-149.061996459961","69.7830963134766","88","1.38400000000001","-3.44200000000001","4.0580710704","8.01709308848246","0.940624855600702","16.62220872",
"4/23/1979","-149.061996459961","69.7830963134766","88","-0.406000000000006","-5.86599999999999","1.3698582984","5.13707609578386","0.911817209101112","17.05624308",
"4/24/1979","-149.061996459961","69.7830963134766","88","1.46100000000001","-0.406000000000006","3.089905524","6.89488915977479","0.94779732989519","14.96970126",
"4/25/1979","-149.061996459961","69.7830963134766","88","0.283999999999992","-1.62","1.411056936","4.7677360145474","0.927875666821033","16.25484024",
"4/26/1979","-149.061996459961","69.7830963134766","88","-2.34100000000001","-12.857","0.453185604","4.88293373269524","0.915839505465727","20.7851616",
"4/27/1979","-149.061996459961","69.7830963134766","88","1.42599999999999","-5.86900000000003","0.7003776024","5.26877950118537","0.935980065472031","17.30406834",
"4/28/1979","-149.061996459961","69.7830963134766","88","1.53100000000001","-6.60500000000002","0.0240325992","3.14232840307797","0.910401775199191","20.23402482",
"4/29/1979","-149.061996459961","69.7830963134766","88","2.23099999999999","-2.36099999999999","0.305557272","3.54420800265191","0.963724884483487","17.60501934",
"4/30/1979","-149.061996459961","69.7830963134766","88","-0.0219999999999914","-11.142","0.806808672","4.64027625355585","0.976633303118656","16.43613984",
"5/1/1979","-149.061996459961","69.7830963134766","88","0.449999999999989","-2.012","2.516556132","5.29033035558015","0.991764836746042","10.492479432",
"5/2/1979","-149.061996459961","69.7830963134766","88","0.509000000000015","-7.81099999999998","0.9784696104","1.65021560507437","0.988295178571948","13.14106938",
"5/3/1979","-149.061996459961","69.7830963134766","88","-0.0260000000000105","-1.351","1.284026832","1.89922389088946","0.989706118479442","13.7197737",
"5/4/1979","-149.061996459961","69.7830963134766","88","-1.40600000000001","-3.61599999999999","2.0874021264","1.62588140327903","0.976577886275021","16.066348812",
"5/5/1979","-149.061996459961","69.7830963134766","88","-0.333000000000027","-3.09300000000002","0.6351472728","2.15638589005545","0.98062623616639","16.265592972",
"5/6/1979","-149.061996459961","69.7830963134766","88","0.523000000000025","-9.12099999999998","2.087402184","2.47526187207598","0.988017795275767","11.44034442",
"5/7/1979","-149.061996459961","69.7830963134766","88","-0.415999999999997","-16.639","0","4.35008536002132","0.925275891616537","24.743197368",
"5/8/1979","-149.061996459961","69.7830963134766","88","-1.23599999999999","-5.46199999999999","0.6042479616","7.1802137201926","0.962834722503047","18.269889912",
"5/9/1979","-149.061996459961","69.7830963134766","88","-6.118","-8","1.33895844","3.65239748298553","0.962451248612627","19.595246832",
"5/10/1979","-149.061996459961","69.7830963134766","88","-7.75099999999998","-10.252","0.823974516","2.23646207995198","0.942841886849475","21.311385552",
"5/11/1979","-149.061996459961","69.7830963134766","88","-7.73200000000003","-11.508","1.0917654264","2.16735031046447","0.931449685188425","21.909655332",
"5/12/1979","-149.061996459961","69.7830963134766","88","-7.46100000000001","-12.634","0.3227233608","2.94746611479488","0.938445827893461","23.15295234",
"5/13/1979","-149.061996459961","69.7830963134766","88","-4.40499999999997","-8.65100000000001","0.902939112","1.30038831783725","0.949255422792522","21.045428568",
"5/14/1979","-149.061996459961","69.7830963134766","88","-6.47500000000002","-8.37200000000001","0.93383802","1.63378658697125","0.941761866552543","23.00703696",
"5/15/1979","-149.061996459961","69.7830963134766","88","-2.90600000000001","-8.32100000000003","0.930404556","3.4326974072512","0.966955477347946","20.84569236",
"5/16/1979","-149.061996459961","69.7830963134766","88","-5.67000000000002","-9.31599999999997","2.29339512","6.02749739765747","0.957970763274838","19.04388552",
"5/17/1979","-149.061996459961","69.7830963134766","88","-7.13499999999999","-9.25299999999999","4.5352944","5.204323781966","0.950664898933253","16.33466556",
"5/18/1979","-149.061996459961","69.7830963134766","88","-6.25","-9.01799999999997","1.30119336","3.7337021018475","0.953564261107265","22.29643404",
"5/19/1979","-149.061996459961","69.7830963134766","88","-0.298000000000002","-7.65899999999999","0.381088332","3.29968569096559","0.977519271402304","21.40277796",
"5/20/1979","-149.061996459961","69.7830963134766","88","0.613","-2.243","0.56991618","2.48780945890837","0.981818983323001","23.12284932",
"5/21/1979","-149.061996459961","69.7830963134766","88","0.0989999999999895","-2.17399999999998","1.259994312","3.03773415751249","0.983488725408147","17.479521",
"5/22/1979","-149.061996459961","69.7830963134766","88","-2.34899999999999","-4.13499999999999","1.61018352","4.9298170389787","0.976623507631972","20.71219968",
"5/23/1979","-149.061996459961","69.7830963134766","88","-3.02300000000002","-6.66699999999997","1.9260414","6.1654418573232","0.970878190994616","20.32875072",
"5/24/1979","-149.061996459961","69.7830963134766","88","-0.0369999999999777","-5.72199999999998","0.621414216","5.23974780824223","0.982575218277307","20.17130184",
"5/25/1979","-149.061996459961","69.7830963134766","88","0.788999999999987","-3.66000000000003","0.5046842664","2.75838287147127","0.963551948963853","26.25322932",
"5/26/1979","-149.061996459961","69.7830963134766","88","1.54899999999998","0.105999999999995","2.914810164","1.79213443336223","0.991411611689761","19.1378772",
"5/27/1979","-149.061996459961","69.7830963134766","88","1.25900000000001","0.584000000000003","2.087401896","3.38424416363056","0.995351104527702","20.0160036",
"5/28/1979","-149.061996459961","69.7830963134766","88","1.43799999999999","0.240000000000009","5.5034661024","1.88073506369001","0.989252992070705","17.60805288",
"5/29/1979","-149.061996459961","69.7830963134766","88","0.879999999999995","-3.04000000000002","2.425575492","3.42422675537289","0.961731545011854","21.53148696",
